Country,Age,Gender,Education_Level,Income_Quintile,Employment_Status,Urbanicity,Has_Account,Has_Financial_Account,Has_Mobile_Account,Received_Transfers,Owns_Mobile,Has_Internet_Access,Made_Digital_Payment,Paid_Merchant_Digitally
Kenya,28.0,1,2,4,1,1,1,0,1,4,1,2,1,1
Kenya,24.0,1,2,4,1,1,1,1,1,4,1,1,1,1
Kenya,24.0,1,2,3,1,1,1,1,1,4,1,1,1,0
Kenya,36.0,1,1,1,1,1,1,1,0,4,1,1,1,0
Kenya,45.0,1,1,2,1,1,1,0,1,4,1,2,1,1
Kenya,20.0,1,2,4,1,2,1,1,1,1,1,1,1,1
Kenya,35.0,2,2,5,1,2,1,1,1,4,1,2,1,0
Kenya,51.0,2,2,5,1,2,1,1,1,4,1,2,1,1
Kenya,17.0,1,2,1,1,1,1,0,1,4,1,2,1,0
Kenya,32.0,2,1,2,1,1,1,0,1,4,1,1,1,0
Kenya,65.0,1,1,1,2,1,0,0,0,4,1,2,0,0
Kenya,50.0,1,1,2,1,2,0,0,0,4,1,2,0,0
Kenya,24.0,2,2,5,1,2,1,0,1,4,1,1,1,0
Kenya,42.0,1,2,1,1,1,1,0,1,4,1,1,1,0
Kenya,35.0,2,2,3,1,1,1,1,1,4,1,1,1,0
Kenya,20.0,2,2,5,1,1,1,1,1,1,1,2,1,1
Kenya,22.0,1,1,3,1,1,1,0,1,4,1,2,1,0
Kenya,21.0,2,2,3,1,1,0,0,0,4,2,2,0,0
Kenya,26.0,2,2,5,1,1,1,0,1,4,1,1,1,0
Kenya,21.0,1,2,3,1,2,1,0,1,1,1,1,1,1
Kenya,19.0,2,2,1,1,2,1,0,1,4,2,1,1,0
Kenya,23.0,1,2,5,1,1,0,0,0,4,2,2,0,0
Kenya,25.0,2,2,4,1,1,0,0,0,4,2,2,0,0
Kenya,30.0,1,1,4,1,1,1,1,1,4,1,2,1,0
Kenya,21.0,2,2,2,1,1,1,0,1,4,1,1,1,0
Kenya,40.0,1,2,5,1,2,1,1,1,4,1,1,1,0
Kenya,44.0,1,2,3,1,1,1,1,1,4,1,2,1,0
Kenya,20.0,2,2,2,1,2,1,1,1,4,2,2,1,1
Kenya,25.0,2,2,5,1,1,1,1,1,4,1,1,1,1
Kenya,30.0,2,2,5,1,2,1,1,1,4,1,1,1,1
Kenya,38.0,1,2,3,1,1,1,1,1,3,1,1,1,0
Kenya,24.0,2,2,4,1,1,1,1,1,4,1,1,1,0
Kenya,17.0,2,1,2,1,1,1,0,1,3,1,1,1,0
Kenya,22.0,2,2,3,1,1,1,0,1,4,1,1,1,0
Kenya,42.0,1,1,2,2,2,0,0,0,4,2,2,0,0
